condition_label,noise_type,noise_size_target,n_trials,mean_latency_ms,median_latency_ms,min_latency_ms,max_latency_ms
noise_0,random_unrelated,0,80,1457.3631055124224,1132.9221135001717,922.7913390004687,4080.152991999057
random_250,random_unrelated,250,80,1404.9142962499673,1117.1083324998108,776.8410499993479,3357.34334100016
similar_250,similar_irrelevant,250,80,1317.1330974375678,1061.4525670007424,775.0306550005917,5091.832488998989
random_1000,random_unrelated,1000,80,1742.2288014248581,1573.2023919999847,778.503928999271,5383.302760001243
similar_1000,similar_irrelevant,1000,80,1682.1479973374608,1413.2956534995174,807.6492919990415,3765.2652480010147
random_4000,random_unrelated,4000,80,2614.690946825044,2322.404256000482,1518.0693290003546,6029.624634000356
similar_4000,similar_irrelevant,4000,80,2558.4833250999964,2294.110124499639,1197.7860090009926,6190.696445000867
