condition_label,noise_type,noise_size_target,n_trials,mean_latency_ms,median_latency_ms,min_latency_ms,max_latency_ms
noise_0,random_unrelated,0,40,1398.2066352500624,1201.9716390000212,887.8315600004498,2918.1078379997416
random_250,random_unrelated,250,40,1354.4216132749625,1094.811039000433,796.6453480003111,4254.255604999344
similar_250,similar_irrelevant,250,40,1245.8047072750105,1103.5984589998407,765.7442889994854,3165.2800440006104
random_1000,random_unrelated,1000,40,1343.6956193999094,1163.4594939996532,815.9867180002038,2957.3529239996788
similar_1000,similar_irrelevant,1000,40,1324.9744525501,1228.0705284997566,820.8260549999977,3292.741068000396
random_4000,random_unrelated,4000,40,1776.5045482250796,1618.0091165001613,1161.1177649992896,3559.4994289995157
similar_4000,similar_irrelevant,4000,40,1949.6136783500788,1809.9278210002012,1169.006236000314,3431.889793000664
