condition_label,noise_type,noise_size_target,n_trials,n_incorrect,distractor_adoptions,distractor_adoption_rate
noise_0,random_unrelated,0,40,1,0,0.0
random_250,random_unrelated,250,40,1,0,0.0
similar_250,similar_irrelevant,250,40,4,3,0.075
random_1000,random_unrelated,1000,40,1,0,0.0
similar_1000,similar_irrelevant,1000,40,4,2,0.05
random_4000,random_unrelated,4000,40,1,0,0.0
similar_4000,similar_irrelevant,4000,40,2,1,0.025
